company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Howard Howard and Hodges,Orlando,FL,Orlando,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner,(407) 333-8110,info@howardcpas.com,https://howardcpas.com/
Kreischer Miller,Philadelphia,PA,Philadelphia,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner,(215) 441-4600,,https://www.kmco.com/
McGovern & Associates PC,Philadelphia,PA,Philadelphia,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner,(215) 483-5555,info@cpaphilly.com,https://www.cpaphilly.com/
Duffy Kruspodin LLP,Orange County,CA,Orange County,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner,(818) 385-0585,,https://dk.cpa/
Paul Anderson CPA,San Diego,CA,San Diego,CPA Firm,5,$500K-$1M,Paul Anderson,Owner,(858) 433-7287,,https://www.sdbookkeepingsolutions.com/
Levin & Associates,Chicago,IL,Chicago,Family Law Firm,10,$1M-$3M,Managing Partner,Managing Partner,(312) 546-5100,,https://levinfamilylaw.com/
Shemesh Family Law,Dallas,TX,Dallas,Family Law Firm,6,$800K-$2M,Amber Shemesh,Founding Attorney,(214) 432-2501,Amber@ShemeshFamilyLaw.com,https://www.shemeshfamilylaw.com/
The Solomon Firm,Atlanta,GA,Atlanta,Family Law Firm,7,$800K-$2M,Managing Partner,Managing Partner,(404) 565-0641,tricia@thesolomonfirm.com,https://www.thesolomonfirm.com/
Eittreim Martin Cutler LLC,Atlanta,GA,Atlanta,Family Law Firm,8,$800K-$2M,Managing Partner,Managing Partner,(770) 574-6473,,https://www.emcfamilylaw.com/
PMI New York City,New York,NY,New York City,Property Management Company,10,$1M-$3M,Principal,Managing Partner,(212) 739-0780,faiz@pminewyorkcity.com,https://www.newyorkcitypropertymanagementinc.com/
GWS&A,Denver,CO,Denver,Wealth Management Firm,10,$1M-$5M,Principal,Managing Partner,,,,
Denver Wealth Management,Denver,CO,Denver,Wealth Management Firm,8,$1M-$3M,Principal,Owner,,,,
Obermeyer Wealth Partners,Denver,CO,Denver,Wealth Management Firm,12,$2M-$5M,Principal,Managing Partner,,,,
High Pass Asset Management,Denver,CO,Denver,Financial Advisory Firm,6,$1M-$3M,Principal,Owner,,,,
Townsend Retirement and Investment Advisors,Denver,CO,Denver,Financial Advisory Firm,10,$1M-$5M,Principal,Managing Partner,,,,
Foundation Mortgage Corporation,Miami,FL,Miami,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,,,,
Miami Lending Advisors,Miami,FL,Miami,Mortgage Brokerage,8,$500K-$2M,Owner,Owner,,,,
Expert Mortgage Group Inc,Miami,FL,Miami,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Great Florida Lending Inc,Miami,FL,Miami,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,,,,
CHORD Real Estate,Nashville,TN,Nashville,Real Estate Brokerage,10,$1M-$5M,Principal,Managing Broker,,,,
Charles Hawkins Co,Nashville,TN,Nashville,Real Estate Brokerage,15,$2M-$5M,Principal,Owner,,,,
The Cauble Group,Nashville,TN,Nashville,Real Estate Brokerage,8,$1M-$3M,Tyler Cauble,Founder,(615) 854-7188,office@thecaublegroup.com,https://www.tylercauble.com/
Elevate Real Estate Brokerage,Nashville,TN,Nashville,Real Estate Brokerage,6,$1M-$3M,Principal,Owner,,,,
Satovsky Asset Management,New York,NY,New York City,Wealth Management Firm,10,$2M-$5M,Principal,Founder,,,,
BBR Partners,New York,NY,New York City,Wealth Management Firm,18,$5M-$10M,Principal,Managing Partner,,,,
Arizona Investment and Management LLC,Phoenix,AZ,Phoenix,Property Management Company,10,$500K-$2M,Principal,Owner,,,,
Taylor Street Property Management,Phoenix,AZ,Phoenix,Property Management Company,12,$1M-$3M,Principal,Owner,,,,
Impero Property Management,Phoenix,AZ,Phoenix,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
LHM Realty,Phoenix,AZ,Phoenix,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Miller Staffing,Cranbury,NJ,Northern New Jersey,Staffing Agency,12,$1M-$5M,Principal,Owner,,,,
PrideStaff Edison,Edison,NJ,Northern New Jersey,Staffing Agency,10,$1M-$3M,Manisha Subramanian,Owner,,,,
Heywood Community Management,Phoenix,AZ,Phoenix,HOA Management Firm,10,$500K-$2M,Principal,Owner,,,,
Arizona HOA Management Inc,Phoenix,AZ,Phoenix,HOA Management Firm,8,$500K-$2M,Principal,Owner,,,,
Brown Community Management,Phoenix,AZ,Phoenix,HOA Management Firm,15,$1M-$3M,Principal,Owner,,,,
Dwell360,Boston,MA,Boston,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,(617) 762-4080,Service@Dwell360.com,https://www.dwell360.com/
Rooney Real Estate,Boston,MA,Boston,Real Estate Brokerage,10,$2M-$5M,Jackie Rooney,Founder,,,,
South End Realty Group,Boston,MA,Boston,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
CL Properties,Boston,MA,Boston,Real Estate Brokerage,8,$1M-$5M,Carmela Laurella,Founder,,,,
Chicagoland Home Mortgage Services,Chicago,IL,Chicago,Mortgage Brokerage,6,$500K-$2M,Ron,Owner,,,,
Corby Mortgage Services Inc,Chicago,IL,Chicago,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
NorthPoint Lending Group,Chicago,IL,Chicago,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Anderson Financial Group Inc,Chicago,IL,Chicago,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
A and N Mortgage Services,Chicago,IL,Chicago,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,(773) 305-5626,,https://www.anmtg.com/
Top Talent Staffing,Orlando,FL,Orlando,Staffing Agency,10,$1M-$3M,Robert Herring,Owner,,,,
Reliable Staffing Orlando,Orlando,FL,Orlando,Staffing Agency,8,$1M-$3M,Principal,Owner,,,,
Tews Company,Orlando,FL,Orlando,Staffing Agency,10,$1M-$3M,Principal,Owner,,,,
Residential Property Management Inc,Minneapolis,MN,Minneapolis,Property Management Company,10,$500K-$2M,Principal,Owner,,,,
Mauzy Properties,Minneapolis,MN,Minneapolis,Property Management Company,6,$500K-$1.5M,Principal,Owner,,,,
Creative Housing Solutions,Minneapolis,MN,Minneapolis,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Boston Partners Wealth Management,Boston,MA,Boston,Wealth Management Firm,8,$1M-$5M,Principal,Managing Partner,,,,
Sankaty Wealth Management,Boston,MA,Boston,Wealth Management Firm,8,$1M-$3M,Principal,Managing Partner,,,,
Windsor Private Wealth,Boston,MA,Boston,Wealth Management Firm,6,$2M-$5M,Principal,Managing Partner,,,,
Woodstock Corporation,Boston,MA,Boston,Wealth Management Firm,12,$2M-$5M,Principal,Managing Partner,,,,
Clarendon Private,Boston,MA,Boston,Wealth Management Firm,8,$1M-$5M,Principal,Managing Partner,,,,
Elfant Wissahickon Realtors,Philadelphia,PA,Philadelphia,Real Estate Brokerage,15,$2M-$5M,Principal,Owner,(215) 247-3600,info@elfantwissahickon.com,https://elfantwissahickon.com/
Solo Real Estate,Philadelphia,PA,Philadelphia,Real Estate Brokerage,8,$1M-$3M,Owner,Owner,,,,
Victory Real Estate LLC,Philadelphia,PA,Philadelphia,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Philadelphia Realty Exchange,Philadelphia,PA,Philadelphia,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
OCF Realty,Philadelphia,PA,Philadelphia,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,(215) 735-7368,info@ocfrealty.com,https://www.ocfrealty.com/
Agave Home Loans Phoenix,Phoenix,AZ,Phoenix,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,,,,
Arnaiz Mortgage,Phoenix,AZ,Phoenix,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,,,,
Home1st Financial Inc,Phoenix,AZ,Phoenix,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Arizona Wholesale Mortgage Inc,Phoenix,AZ,Phoenix,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
NextPath,Tampa,FL,Tampa,Recruiting Agency,12,$1M-$5M,Principal,Owner,(800) 869-2353,apply@nextpathcp.com,https://nextpathcp.com/
Hiregy,Tampa,FL,Tampa,Staffing Agency,10,$1M-$3M,Principal,Owner,(813) 449-4800,,https://www.hiregy.com/
Alluvion Staffing,Tampa,FL,Tampa,Staffing Agency,8,$1M-$3M,Principal,Owner,,,,
Shannon Property Management,Houston,TX,Houston,Property Management Company,10,$500K-$2M,Steven Shannon,Co-Founder,(713) 369-4362,info@shannonmgt.com,https://shannonpropertymanagement.com/
Advantage Asset Management Houston,Houston,TX,Houston,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
ELDA Management Services,Houston,TX,Houston,Property Management Company,10,$500K-$2M,Principal,Owner,,,,
Area Texas Realty & Management,Houston,TX,Houston,Property Management Company,12,$1M-$3M,Principal,Owner,(713) 972-1222,info@areatexas.com,https://www.propertymanagementhouston.com/
